inputs,labels,predictions
"Břeclav – Plamínek zažehnutý v Betlémě, kde se podle křesťanské tradice narodil Ježíš Kristus, je v České republice.","Břeclav - The light lit in Bethlehem, where according to Christian tradition Jesus Christ was born, is in the Czech Republic.","Here is the translation:

Břeclav – A spark lit in Bethlehem, where, according to Christian tradition, Jesus Christ was born, is in the Czech Republic."
"Skauti si pro něj kvůli pandemii koronaviru ale ani tentokrát nejeli do Vídně, ráno jej od svých rakouských kolegů převzali na hraničním přechodu Reintal – Břeclav.","However, the Scouts did not go to Vienna for it this time because of the coronavirus pandemic; in the morning they took it from their Austrian colleagues at the border crossing at Reintal - Břeclav.","Here is the translation:

Scouts were waiting for him due to the coronavirus pandemic, but they didn't go to Vienna this time either, in the morning they took him over from their Austrian colleagues at the Reintal - Břeclav border"
Na hranici jej přebírali i loni.,It was taken at the border last year as well.,"Here is the translation of the given Czech sentence to English:

At the border they were also taking it last year."
"Betlémské světlo je krásná vánoční tradice, které se s oddílem každoročně účastníme, těším se na to moc.",The Peace Light of Bethlehem is a beautiful Christmas tradition that my group and I participate in every year and I look forward to it very much.,"Here is the translation of the text from Czech to English:

""The Bethlehem Star is a beautiful Christmas tradition that we participate in with our group every year, I'm really looking forward to it."""
"Je to pro mne čest, že jsem byla vybrána, řekla přítomným novinářům skautka Amálie Budíková.","It is an honor for me to have been selected, said Amálie Budíková, a girl Scout.","Here is the translation:

""It's an honor for me to have been chosen,"" said Amálie Budíková, a scout, to the journalists present."
"Zatímco loni se předání uskutečnilo na hraničním přechodu Mikulov-Drasenhofen, a to přímo na hraničním mostě, nyní na přechodu Reintal – Břeclav na parkovišti.","Last year the handover took place at the Mikulov-Drasenhofen border crossing, directly on the border bridge, but now it takes place at the Reintal-Břeclav border crossing in the car park.","Here is the translation from Czech to English:

 While last year the handover took place at the border crossing Mikulov-Drasenhofen, directly on the border bridge, this year at the Reintal – Břeclav crossing"
Obvykle pro něj ale skauti jezdí vlakem do Vídně.,"Usually, however, the Scouts take the train to Vienna to get it.","Here is the translation of the given Czech sentence to English:

Usually, however, scouts travel by train to Vienna for him."
Na rozvozu plamínku po České republice se nic nemění.,Nothing changes in the distribution of the Light in the Czech Republic.,"Here is the translation of the given Czech sentence to English:

The spread of the COVID-19 pandemic across the Czech Republic remains unchanged."
"S betlémským světlem vyrazili skauti tradičně vlakem nejprve do Brna, kde jej předají diecéznímu biskupovi Vojtěchu Cikrlemu.","Traditionally, the Scouts set off with the Bethlehem light by train first to Brno where they hand it over to the diocesan bishop Vojtěch Cikrle.","Here is the translation of the text from Czech to English:

The scouts traditionally set out with the Bethlehem Star by train first to Brno, where they will hand it over to Bishop Vojtěch Cikrle of the diocese."
"O následný rozvoz světla se v sobotu 18. prosince postarají skautští kurýři, kteří budou cestovat vybranými rychlíky i osobními vlaky.","On Saturday, December 18, the Scout couriers will take charge of the subsequent distribution of the light, traveling on selected express and local trains.","Here is the translation of the text from Czech to English:

""The distribution of light will be taken care of by scout couriers on Saturday, December 18, who will travel on selected express trains and personal trains."""
"Od nich si světlo převezmou ve stanicích místní skauti nebo dobrovolníci, kteří pak budou dál šířit plamínek po Česku i tam, kam koleje nevedou.","From them, the local Scouts or volunteers will take over the Light in the stations and will then spread it across the Czech Republic, even where the tracks do not lead.","Here is the translation:

From them, the light will be taken over by local scouts or volunteers at the stations, who will then spread the flame throughout the Czech Republic, even to places where the rails do not lead."
I letos musí skauti dodržovat platná opatření proti šíření koronaviru.,"Again this year, the Scouts must comply with the current measures against the spread of coronavirus.","Here is the translation of the given Czech sentence to English:

""Scouts must follow the current measures against the spread of coronavirus this year."""
Probíhá to podobně jako loni.,The process is similar to last year.,"Here is the translation of the given Czech sentence to English:

It's going on similarly to last year."
"Dáváme doporučení jak těm kurýrním týmům, tak organizátorům místních akcí, aby samozřejmě nosili roušky, snažili se dodržovat rozestupy, bylo jich co nejméně, nezpívat kolegy, prostě se chovat tak, aby to bylo co nejbezpečnější, popsala mluvčí akce betlémského světla Zuzana Hrbková.","We have made recommendations to both the courier teams and to the organizers of local events that they wear masks, that they try to keep their spacing as short as possible, that they do not sing with their colleagues, that they simply behave in a way that is as safe as possible, described Zuzana Hrbková, spokesperson for the Bethlehem Light event.","Here is the translation of the text from Czech to English:

""We are advising both the courier teams and the organizers of local events to, of course, wear masks, try to maintain distances, have as few people as possible, not sing to each other"
"Tradice betlémského světla, které putuje Evropou, se zrodila v roce 1986 v Rakousku.",The tradition of the Bethlehem light traveling through Europe first started in Austria in 1986.,"Here is the translation of the given text from Czech to English:

The tradition of the Bethlehem light, which travels through Europe, was born in 1986 in Austria."
"Cílem je šířit zároveň s plamínkem myšlenku pokoje, přátelství a míru.","The aim is to spread the idea of peace, friendship and harmony along with the Light.","Here is the translation of the given Czech sentence to English:

""The goal is to spread the flame of the idea of peace, friendship, and peace at the same time."""
"Betlémské světlo je pro věřící symbolem naděje, světla, jež překonává tmu.","For the believers, the Light of Bethlehem is a symbol of hope, light that overcomes the darkness.","Here is the translation of the given Czech text to English:

""The Bethlehem Star is a symbol of hope for believers, a light that overcomes darkness."""
V Česku se o jeho šíření starají skauti a skautky už víc než 30 let.,"In the Czech Republic, boy Scouts and girl Scouts have been spreading it for more than 30 years.","Here is the translation:

In the Czech Republic, scouts and scout leaders have been taking care of its spread for more than 30 years."
"Akce stojí na stovkách dobrovolníků, plamínek je tak rovněž symbolem nezištnosti a lidské vzájemnosti.","The event relies on hundreds of volunteers, so the flame is also a symbol of selflessness and human connection.","Here is the translation of the given text from Czech to English:

The action is based on hundreds of volunteers, and the spark is also a symbol of selflessness and human mutual aid."
"Všechny aktuality, včetně seznamu míst, kam si lidé mohou pro plamínek přijít, lze najít na webových stránkách www.betlemskesvetlo.cz.","All the latest news, including a list of places where people can pick up a lit flame, can be found on the www.betlemskesvetlo.cz website.","Here is the translation from Czech to English:

""All news, including the list of places where people can come to see the Bethlehem Star, can be found on the website www.betlemskesvetlo.cz."""
"Nemám ekonomický vzdělání, takže neznám základy ekonomie který potvrzujou že dotace sou rakovina ekonomiky, ale nemyslím si že dotace jako celek by byl problém.","I don't have an education in economics, so I don't know the basic economics that confirms that subsidies are a cancer on the economy, but I don't think subsidies as a whole would be a problem.","Here is the translation from Czech to English:

""I don't have an economic education, so I don't know the basics of economics that would confirm that subsidies are a cancer of the economy, but I don't think that subsidies as a whole would be"
"Rozvoj infrastruktury, ekologie(např. zadržování vody), zdravotnictví i školství ty peníze náležitě zužitkuje, akorát nechápu proč se ty peníze dávaj do zemědělství, průmyslu a celkově firmám.","Infrastructure development, ecology (e.g. water retention), health care and education will make good use of the money, but I just don't understand why the money is given to agriculture, industry and companies in general.","Here is the translation from Czech to English:

""Development of infrastructure, ecology (e.g. water retention), healthcare, and education are all making good use of those funds, but I just don't understand why those funds are being invested in agriculture,"
Jak je zmíněno - produkuje se zbytečnej produkt a nabourává to volnej trh a “přirozenej život firmy”.,"As mentioned - it produces a useless product and upsets the free market and the ""natural life of the company"".","Here is the translation from Czech to English:

As mentioned - unnecessary product is being produced, which disrupts the free market and ""naturally"" harms the company's life."
Sám pracuju ve fabrice kde je na chodbách milion vývěsek “xy financováno/spolufinancováno projektem xy” a taková firma je prostě jenom uměle držená při životě.,"I myself work in a factory where there are a million ""XY funded/co-funded by the project XY"" signs in the corridors and such a company is just artificially kept alive.","Here is the translation from Czech to English:

""I myself work in a factory where there are millions of signs on the corridors saying 'xy funded/co-funded by project xy' and such a company is simply artificially kept alive.""

Note: The ""xy"""
"Tohle neni podpora firmy která dává práci x lidem, tohle je brždění vývoje kdy tahle firma se jak tak drží a ubírá zakázky/zaměstnance firmám, který by se po jejím zániku mohly rozrůst a bejt produktivnější","This is not supporting a company that gives jobs to x number of people, this is holding back development when this company is holding its own and taking contracts/employees away from companies that could grow and be more productive after its demise","Here is the translation from Czech to English:

""This is not support for a company that gives work to x people, this is slowing down development when this company is barely holding on and taking away orders/employees from companies that could grow and be more productive"
"Naprostý souhlas, je to hrozný.","Totally agree, it's terrible.","Here is the translation of the given Czech sentence to English:

""Utter agreement, it's terrible."""
"Občas i člověk, který se v internetové době narodil, se taky chytne do nějakého triku či pasti - zejména reklamy.",Sometimes a person who was born in the Internet age also falls for a trick or trap – especially advertising.,"Here is the translation:

Even someone who was born in the internet age can sometimes fall for a trick or a trap - especially ads."
"Sám si myslím, že internetové reklamy se mnou nehnou, ale pak se stejně ale nachytám, že i mě ovlivnily - je to už prostě tak vymakané, že se tomu člověk vždy neubrání.","I myself think that internet advertisements don't move me, but then I catch myself being influenced by them anyway - it's just so sophisticated that you can't always resist it.","Here is the translation of the given text from Czech to English:

""I think to myself that online ads don't affect me, but then I catch myself that they do - it's just so ingrained that you can't avoid it."""
"I z toho důvodu podporuji radikální hlasy v Evropském parlamentu, které momentálně chtějí dát naprostý zákaz programmatickým (= cíleným) reklamám...",It is also for this reason that I support the radical voices in the European Parliament that currently want to put a total ban on programmatic (= targeted) ads...,"Here is the translation from Czech to English:

I support the radical voices in the European Parliament who are currently calling for a complete ban on programmatic (= targeted) ads..."
"Je to všechno svinstvo, slovy klasičky - já bych ty internety zakázal.","It's all bullshit, in the words of a classic - I'd ban the internets.","Here is the translation from Czech to English:

""It's all a mess, in the words of a little girl - I would ban the internets.""

Note: The phrase ""klasička"" is a colloquialism in Czech that roughly translates"
Ja mam pocit ze tato vira ma kořeny v (ale převážně v bodu 1):,I have a feeling that this belief has its roots in (but mostly in point 1):,"Here is the translation from Czech to English:

""I have the feeling that this idea has roots in (but mainly in point 1):"""
"1. ""nebudu věřit něčemu co věří většina a dává to smysl, nejsem přeci ovce, ale radši budu věřit něčemu co je méně pravděpodobné, nedává to moc smysl, ale je důležité že budu mít vlastní originální názor o kterém budu tvrdit že je to krytické myšlení""","1. ""I'm not going to believe something that the majority believes and makes sense, I'm not a sheep, but I'd rather believe something that is less likely, it doesn't make much sense, but it's important that I have my own original opinion which I will claim is cryptic thinking""","Here's the translation from Czech to English:

1. ""I won't believe in something just because the majority believes it and it makes sense. I'm not a sheep, after all. But I'd rather believe in something that's less likely,"
"2. ""přece nebudu věřit všemu co říkají media""","2. ""I'm not going to believe everything the media says""","Here is the translation of the given Czech sentence to English:

2. ""I won't believe everything the media says."""
"3. ""nevěřím politikům""","3. ""I don't trust politicians""","The translation of the Czech phrase ""3. ""nevěřím politikům"""" is:

3. ""I don't believe in politicians"""
"Televize propadly trendu vánočních filmů, premiéru jich letos mají dvě stovky","TV stations have fallen for the trend of Christmas movies, with two hundred premiering this year","Here is the translation:

TV ratings have plummeted in the trend of Christmas movies, with over 200 premieres this year."
"Los Angeles – Kina, televizní stanice a streamovací platformy ve Spojených státech a dalších anglicky mluvících zemích propadly trendu vánočních filmů a letos jich svým divákům v premiéře představí rekordní více než dvě stovky.","Los Angeles - Cinemas, TV stations and streaming platforms in the United States and other English-speaking countries have fallen for the trend of Christmas movies, with a record-breaking two hundred-plus opening to their audiences this year.","Here is the translation from Czech to English:

Los Angeles – In the United States and other English-speaking countries, movie theaters, TV stations, and streaming platforms have fallen into the trend of Christmas movies, and this year they will present a record-breaking over"
Spočítal to provozovatel filmové databáze IMDb.,This was calculated by the operator of the IMDb movie database.,"Here is the translation:

He calculated that the operator of the film database IMDb did."
"Žánr vánočních rodinných a romantických filmů v posledních letech u publika boduje a výrazně zvyšuje sledovanost, proto těchto snímků vzniká čím dál více.","The genre of Christmas family and romantic movies has been scoring with audiences in recent years and has significantly increased in viewership, which is why more and more of these movies are being made.","Here is the translation:

The genre of Christmas family and romantic films has been a hit with the audience in recent years, significantly increasing viewership, so more and more of these films are being made."
Letos se natočilo čtyřikrát více vánočních filmů než v roce 2011 a dvakrát více než před pěti lety.,"Four times more Christmas movies have been made this year than in 2011, and twice as many as five years ago.","Here is the translation:

This year, four times more Christmas movies were filmed than in 2011 and twice as many as five years ago."
"Databáze IMDb přitom do svého součtu zahrnula jen ty snímky, které mají slovo Christmas (Vánoce) ve svém názvu, takže reálně bude svátečních filmů mnohem více.",The IMDb database includes only those movies that have the word Christmas in their title so in reality there will be many more holiday movies.,"Here is the translation:

The IMDb database, however, only included in its total those films that have the word Christmas (Christmas) in their title, so there will be many more holiday films in reality."
"Filmy, které si lidé tradičně spojují s Vánocemi, existovaly vždy.",Movies that people traditionally associate with Christmas have always existed.,"Here is the translation:

 Films that people traditionally associate with Christmas have always existed."
"V Česku jsou s tímto obdobím spojené zejména pohádky, celosvětově jsou populární třeba také snímky Sám doma, Láska nebeská nebo klasický vánoční příběh Život je krásný z roku 1946.","In the Czech Republic, fairy tale movies are especially associated with this time of year; popular worldwide are also movies such as Home Alone, Love, Actually or the classic Christmas story It’s a Wonderful Life made in 1946.","Here is the translation from Czech to English:

In the Czech Republic, this period is associated with fairy tales, and worldwide, films like Home Alone, Heavenly Love, or the classic Christmas story The Shop on Main Street from 1946 are also popular"
"Pravý boom vánočních snímků ale odstartoval až v roce 2009, kdy se speciální filmovou sérií přišla americká kabelová televizní stanice Hallmark, připomněl server BBC.","However, the real boom of Christmas movies started in 2009, when American cable TV station Hallmark came up with a special series, the BBC sever recalled.","Here is the translation:

The real boom of Christmas movies, however, started in 2009, when the American cable television channel Hallmark launched a special film series, the BBC reported."
Její adventní projekt nazvaný Countdown to Christmas (Odpočítávání do Vánoc) tehdy zahrnoval čtyři filmy a byl velice úspěšný.,Its Advent project called Countdown to Christmas included all the four movies mentioned above and was very successful.,"Here is the translation:

Her Advent project called Countdown to Christmas (Countdown to Christmas) at the time included four films and was very successful."
Letos tato stanice začala své diváky na Vánoce ladit už 22. října a představí celkem 42 vánočních snímků.,"This year, the station began tuning its viewers in for Christmas on 22 October and will present a total of 42 Christmas movies.","Here is the translation:

This year, the station started to get its viewers in the mood for Christmas as early as October 22nd and will present a total of 42 Christmas films."
Konkurenční stanice Lifetime má letos na programu 35 nových filmů s vánoční tematikou a do celkového součtu přispívají i oblíbené streamovací platformy jako například Netflix.,"This year, rival station Lifetime has 35 new Christmas-themed movies in its schedule, with popular streaming platforms such as Netflix contributing to the total.","Here is the translation:

""Competing station Lifetime has 35 new Christmas-themed films on its schedule this year, and popular streaming platforms like Netflix are also contributing to the total count."""
"„V tomhle kouzelném období na příběhu zase až tolik nezáleží, důležité je, že v pozadí je spousta vánočních stromečků a že sněží,“ popsal s nadsázkou tento žánr Brandon Gray, autor knihy o vánočních filmech nazvané I'll Be Home for Christmas Movies (Na vánoční filmy budu doma).","""In this magical season, the story doesn't matter so much, what matters is that there are lots of Christmas trees in the background and that it's snowing,"" Brandon Gray, author of a book about Christmas movies called I'll Be Home for Christmas Movies, described the genre with exaggeration.","Here is the translation:

""In this magical period of the story, it's not so much about the plot, but rather that there are a lot of Christmas trees in the background and it's snowing,"" said Brandon Gray, author of a book about"
"„Pro diváky je to forma úniku a způsob, jak aspoň na dvě hodiny cítit trochu klidu uprostřed všeho toho svátečního šílenství a šílenství světa, ve kterém posledních pár let žijeme,“ doplnil Gray.","""It's a form of escape for the audience and a way to feel a little bit of peace for at least two hours in the midst of all the holiday madness and craziness of the world we've been living in for the last few years,"" Gray added.","Here is the translation of the text from Czech to English:

""For the viewers, it's a form of escape and a way to at least feel a bit of calm for two hours in the midst of all that festive madness and the madness of the world"
"Podle něj například televize Hallmark používá pro své filmy stále stejný recept, který je sice uniformní, ale úspěšný.","Hallmark Television, for example, has used the same formula for its movies, which is uniform but successful, he said.","Here is the translation:

According to him, for example, Hallmark Channel uses the same recipe for its movies, which may be uniform but is successful."
"Máte dva lidi, co se do sebe zamilují, ale pak vznikne asi půl hodiny před koncem nějaké nedorozumění, které se ovšem zdárně vyřeší a ti dva se políbí.","You have two people who fall in love, but then there’s some kind of misunderstanding about half an hour before the end, but they work it out and then they kiss.","Here is the translation from Czech to English:

""You have two people who fall in love with each other, but then a misunderstanding arises about half an hour before the end, which however is successfully resolved and the two people kiss."""
"Takhle je to pořád dokola, a dokud všechny filmy vypadají podobně a mají podobnou atmosféru, sledují lidé jeden za druhým, doplňuje Gray.","It's always like that, and as long as the movies all look the same and have a similar spirit, people will watch them one after another, Gray adds.","Here is the translation of the given text from Czech to English:

""This is always the same, and as long as all the movies look the same and have the same atmosphere, people watch one after another,"" Gray adds."
"Mazepin měl pozitivní text na covid-19, do závěrečného závodu F1 nezasáhne.","Mazepin tested positive for Covid-19, he will not take part in the final F1 race.","Here is the translation:

Mazepin tested positive for COVID-19 and will not participate in the final F1 race."
Do Velké ceny Abú Zabí ve formuli 1 vyrazí pouze devatenáct jezdců.,Only nineteen drivers will start the Abu Dhabi Grand Prix.,"Here is the translation:

 Only nineteen drivers will start in the Abu Dhabi Grand Prix in Formula 1."
Nikita Mazepin měl pozitivní text na covid-19 a do posledního závodu sezony nezasáhne.,Nikita Mazepin tested positive for Covid-19 and will not take part in the last race of the season.,"Here is the translation:

Nikita Mazepin has tested positive for COVID-19 and will not participate in the final race of the season."
Stáj Haas tak pošle na trať jen jednu formuli.,Haas will only send one car to the track.,"Here is the translation:

The Haas team will only send one car to the track."
"V posledním závodě sezony měl útočit na lepší umístění z 20. příčky, kterou si vyjel v kvalifikaci.","In the last race of the season, he was supposed to struggle for a better position from the 20th place he took in qualifying.","Here is the translation of the text from Czech to English:

""In the final race of the season, he was aiming to improve on his 20th place finish, which he secured in qualifying."""
Rus Nikita Mazepin ze stáje Haas však nakonec do Velké ceny Abú Zabí nezasáhne.,"However, Russian Haas driver Nikita Mazepin will not take part in the Abu Dhabi Grand Prix.","Here is the translation:

Russian Nikita Mazepin from the Haas team will not participate in the Abu Dhabi Grand Prix after all."
Byl totiž pozitivně testovaný na covid-19.,He has tested positive for Covid-19.,"Here is the translation of the given Czech sentence to English:

He was indeed tested positive for COVID-19."
"Na startovním roštu se tak objeví pouze devatenáct vozů, z poslední příčky vyrazí na trať Mazepinův týmový kolega Mick Schumacher, z první Max Verstappen, jenž se v přímé bitvě o titul utká s Lewisem Hamiltonem.","Only nineteen cars will appear on the grid, with Mazeppa's teammate Mick Schumacher starting from last place and Max Verstappen, who will face Lewis Hamilton in a battle for the title, from first.","Here is the translation:

 On the starting grid, only 19 cars will appear, with Mick Schumacher, Mazepin's teammate, starting from the back row, while Max Verstappen, who will be competing directly with Lewis Hamilton for"
Mazepin je podle vyjádření stáje Haas poměrně v pořádku a nevykazuje žádné příznaky.,"Mazepin is feeling relatively well and shows no symptoms, according to the Haas team.","Here is the translation of the given Czech sentence to English:

Mazepin is reportedly fine according to Haas team's statement and shows no symptoms."
"Nikita je fyzicky v pořádku, protože byl asymptomatický.",Nikita is physically fine because he was asymptomatic.,"Here is the translation of the given Czech sentence to English:

Nikita is physically fine, as he was asymptomatic."
"Nyní je v izolaci a bude se řídit pokyny příslušných orgánů veřejného zdraví, přičemž bezpečnost bude konečnou prioritou pro všechny zúčastněné strany,"" uvedli její zástupci pro formula1.com.","He is now in isolation and will follow the relevant public health authority guidelines, with safety being the ultimate priority for all parties involved,"" representatives told formula1.com.","Here is the translation from Czech to English:

""Currently, she is in isolation and will follow the instructions of the relevant public health authorities, with safety being the top priority for all parties involved,"" her representatives said in a statement to formula1.com."
"Do závodu Haas náhradního jezdce nepošle, ani nemůže.","Haas will not send a replacement driver to the race, nor can they.","Here is the translation of the given Czech sentence to English:

Haas will not and cannot send a replacement driver to the race."
Případný náhradník by totiž musel absolvovat kvalifikaci nebo jízdy v jiné části víkendu.,Possible substitutes have to have qualified or have driven during a different part of the weekend.,"Here is the translation of the given Czech sentence to English:

A potential substitute would have to undergo qualification or ride in another part of the weekend."
S covidem-19 se nepotýká první závodník.,The first competitor is not dealing with Covid-19.,"Here is the translation:

The first competitor is not dealing with COVID-19."
"Na startu právě končící sezony měl covid-19 Kimi Räikkönen, loni byli pozitivně testovaní Sergio Pérez č Lewis Hamilton.","Kimi Räikkönen tested positive for Covid-19 at the beginning of the season, Sergio Pérez and Lewis Hamilton tested positive last year.","Here is the translation from Czech to English:

At the start of the season that is just ending, Kimi Räikkönen had COVID-19, last year Sergio Pérez and Lewis Hamilton tested positive."
Za tohle tě taky můžou zavřít.,You could go to jail for that as well.,"Here is the translation of the given Czech sentence to English:

For this, they can lock you up too."
"A každýmu bude ukradený, že šéf říkal.",And no one will care what the boss said.,"Here is the translation of the given Czech sentence to English:

Everyone will be told that the boss said it."
Z hlediska zákona je covid na seznamu nakažlivejch nemocí.,"Legally, Covid is on the list of contagious diseases.","Here is the translation of the given Czech sentence to English:

From a legal perspective, COVID is on the list of infectious diseases."
"Tedy ve stejné skupině, jako HIV, mor, žloutenka nebo tyfus.","In the same group as HIV, plague, hepatitis or typhoid.","Here is the translation of the given Czech sentence to English:

So in the same group as HIV, plague, yellow fever, or typhus."
§ 152 Šíření nakažlivé lidské nemoci,§ 152 Spread of contagious human disease,"Here is the translation of the given Czech text to English:

§ 152 Spreading a contagious human disease"
"(1) Kdo úmyslně způsobí nebo zvýší nebezpečí zavlečení nebo rozšíření nakažlivé nemoci u lidí, bude potrestán odnětím svobody na šest měsíců až tři léta, zákazem činnosti nebo propadnutím věci.","(1) Whoever intentionally causes or increases the risk of introducing or spreading a contagious disease to humans shall be punished by imprisonment for six months to three years, prohibition of activity or confiscation of property.","Here is the translation from Czech to English:

""(1) Whoever intentionally causes or increases the risk of the spread or introduction of a contagious disease among humans, shall be punished by imprisonment for six months to three years, by a ban on activity or by"
"(2) Odnětím svobody na dvě léta až osm let bude pachatel potrestán,","(2) The offender shall be punished by imprisonment for two to eight years,","Here is the translation:

(2) By depriving the perpetrator of liberty for two to eight years, the perpetrator will be punished,"
"c) poruší-li takovým činem důležitou povinnost vyplývající z jeho zaměstnání, povolání, postavení nebo funkce nebo uloženou mu podle zákona, nebo","(c) if by such act they violate an important duty arising out of their employment, profession, position or office or imposed on them by law; or","Here is the translation from Czech to English:

c) if he commits such an act by violating an important duty arising from his employment, profession, position or function, or one imposed on him by law, or"
d) způsobí-li takovým činem těžkou újmu na zdraví.,(d) if the act causes serious bodily injury.,"Here is the translation of the given Czech sentence to English:

d) causes serious harm to health."
"(3) Odnětím svobody na tři léta až deset let bude pachatel potrestán, způsobí-li činem uvedeným v odstavci 1 těžkou újmu na zdraví nejméně dvou osob nebo smrt.",(3) The offender shall be sentenced to imprisonment for three to ten years if the act referred to in subsection (1) causes serious bodily injury to at least two persons or death.,"Here is the translation from Czech to English:

""(3) If the perpetrator causes serious bodily harm to at least two persons or death by the act referred to in paragraph 1, they shall be punished with deprivation of liberty for a term of three years"
"(4) Odnětím svobody na pět až dvanáct let bude pachatel potrestán, způsobí-li činem uvedeným v odstavci 1 smrt nejméně dvou osob.","(4) The offender shall be punished by imprisonment for five to twelve years if, by the act referred to in subsection (1), he causes the death of at least two persons.","Here is the translation from Czech to English:

""(4) If the perpetrator causes the death of at least two persons by the act referred to in paragraph 1, the perpetrator shall be punished with imprisonment of five to twelve years."""
Kvíz: Proč krachující firmy řídí často ženy a co po vás vedení nesmí nikdy chtít,Quiz: Why failing businesses are often headed by women and what the management can never ask you to do,"Here is the translation:

Quiz: Why do failing companies often have women at the helm, and what should management never ask of you?

Note: I translated ""Kvíz"" as ""Quiz"" since it's a common term in Czech for a"
"Mzdová nerovnost mužů a žen, tedy takzvaný gender pay gap, je v Česku dlouhodobě jedna z nejvyšších v EU.","The Czech gender pay gap, wage inequality between men and women, has been one of the highest in the EU for a long time.","Here is the translation:

The wage inequality between men and women, also known as the gender pay gap, is one of the highest in the EU and has been a long-standing issue in the Czech Republic."
V které zemi jsou rozdíly největší?,Which country has the biggest differences?,"Here is the translation:

In which country are the differences the greatest?"
A v jaké věkové kategorii a v kterém odvětví si ženy oproti mužům vydělávají nejméně peněz?,And which age group and which industry do women earn the least money in compared to men?,"Here is the translation:

 In what age category and in which sector do women earn the least compared to men?"
"Otestujte si, co vše víte o nerovném odměňování.",Test your knowledge of unequal pay.,"Here is the translation:

""Test yourself on what you know about unequal pay."""
"Zlato, stříbro a 150 diamantů: Cenovka nejdražšího svetru ohromí!","Gold, silver and 150 diamonds: The price tag of the most expensive sweater is staggering!","Here is the translation:

Gold, silver, and 150 diamonds: Price tag of the most expensive coat will leave you speechless!"
Je trochu jako přenosné klenotnictví a tvůrce do něho vložil půl roku práce a veškeré svoje úspory.,It's kind of like a travelling jewelers and the creator has put half a year of work and every last penny of his savings into it.,"Here is the translation:

It's a bit like a portable jewelry store, and the creator put half a year's work and all his savings into it."
"„Měl jsem vizi toho, co chci vytvořit, ale málo zkušeností, u nás doma se svetry nikdy moc nenosily,“ přiznává Liban, který během půl roku strávil nad svým dílem 3000 hodin.","""I had a vision of what I wanted to create, but not enough experience since we never wore sweaters much at home,"" admits Liban, who spent 3,000 hours on his piece over six months.","Here is the translation:

""I had a vision of what I wanted to create, but little experience, and in our country, sweaters were never really worn,"" admits Liban, who spent 3,000 hours over the past six months working on"
"Hedvábí koupil v Itálii, 24karátové zlaté nitě ve Francii a 2000 ozdobných krystalků dodala firma Swarowski.","He bought the silk in Italy, the 24-carat gold threads in France and the 2,000 decorative crystals were supplied by Swarowski.","Here is the translation from Czech to English:

""Velvet was purchased in Italy, 24-karat gold threads were bought in France, and 2,000 decorative crystals were supplied by the Swarovski company.""

Let me know if you'd"
Stříbrné hvězdy pak ozdobil 150 diamanty.,The silver stars were then decorated with 150 diamonds.,"Here is the translation:

Silver stars were then adorned with 150 diamonds."
"„Základem je vlna a bavlna, ale hedvábí dodá svetru hebkost,“ chválí tvůrce svoje dílo, které ovšem nedoporučuje prát.","""The main body is wool and cotton, but silk gives the sweater softness,"" says the creator, pleased with his work, which, of course, he doesn’t recommend washing.","Here is the translation:

""The base is wool and cotton, but silk will give the sweater softness,"" praises the creator of his work, which he does not recommend washing."
A má to ještě jeden háček.,And there's another catch.,"Here is the translation of the Czech sentence to English:

And it still has one more snag.

(Note: ""háček"" is a Czech word that can be translated to English as ""snag"" or ""catch"", but in this context, it"
"„Jsem úplně na mizině, musím svetr co nejrychleji prodat,“ přiznává Liban.","""I’ve got absolutely no money left, I have to sell the sweater as soon as possible,"" admits Liban.","Here is the translation of the sentence from Czech to English:

""I'm completely broke, I have to sell this sweater as quickly as possible,"" admits Liban."
"Pokud uspěje, vytvoří světový rekord.","If he succeeds, he will set a world record.","Here is the translation of the given Czech sentence to English:

If he succeeds, he will create a world record."
"Dosavadní nejdražší svetr, prodaný před pěti lety, stál „jen“ 720 000 korun.","The most expensive sweater ever cost ""only"" CZK 720,000 when it was sold more than five years ago.","Here is the translation:

The most expensive sweater sold so far, which was sold five years ago, cost ""only"" 720,000 crowns."
Je-li MZ odtrženej od reality ani moc nevadí - nechá si vyletovat vadný okruh a vyměnit za nový.,"If MZ is detached from reality, it doesn't matter much - he'll let the faulty circuit blow out and get it replaced with a new one.","Here is the translation from Czech to English:

""If the MZ is disconnected from reality, it doesn't really bother them - they'll let someone else fly it and replace the faulty ring with a new one."""
"Fakt je, že odchod FB z Evropy by velmi pomohl její neruské části (ta pod vlivem má holt smůlu).",The fact is that the departure of FB from Europe would greatly help its non-Russian part (the influenced part is unlucky).,"Here is the translation of the given text from Czech to English:

The fact is that FB's departure from Europe would greatly help its non-Russian parts (which are just unlucky under its influence)."
"Myslím, že by to celkem dost pročistilo společenské klima.",I think it would clean up the social climate quite a bit.,"Here is the translation of the given Czech sentence to English:

I think it would quite a bit clean up the social climate."
"Případně by se i lépe vyjasnily kanály ""sovětské bratrské pomoci"" některým našim politickým stranám a představitelům.","Alternatively, the channels of ""Soviet fraternal aid"" to some of our political parties and leaders would be better clarified.","Here is the translation of the given Czech text to English:

""Alternatively, the channels of ""Soviet fraternal aid"" to some of our political parties and representatives would also be clarified better.""

Note: ""Sovětská bratrská"
